"","Time","Product1","Product2","Label","Competidor"
"120",120,1952488,14066473,"Real","Competidor 1"
"121",121,2142586,13030770.5,"Real","Competidor 1"
"122",122,2189597,13129446.5,"Real","Competidor 1"
"123",123,2215747,13973999.5,"Real","Competidor 1"
"124",124,2131680,12760045,"Real","Competidor 1"
"125",125,2302016,13010288.5,"Real","Competidor 1"
"126",126,2042078,14297376,"Real","Competidor 1"
"127",127,2083929,14968356.5,"Real","Competidor 1"
"128",128,2145057,14152306.5,"Real","Competidor 1"
"129",129,2528302,13666197,"Real","Competidor 1"
"130",130,2651919,12916243.5,"Real","Competidor 1"
"131",131,2235495,13809226,"Real","Competidor 1"
"132",132,1989705,13544336.5,"Real","Competidor 1"
"133",133,2009254,13670213.5,"Real","Competidor 1"
"134",134,2106822,13106176,"Real","Competidor 1"
"135",135,2253936,13259540.5,"Real","Competidor 1"
"136",136,2117970,14386170,"Real","Competidor 1"
"137",137,2139386,13125137,"Real","Competidor 1"
"138",138,2351777,13119364.5,"Real","Competidor 1"
"139",139,1972124,13261239,"Real","Competidor 1"
"140",140,1881393.1,13409441.5,"Real","Competidor 1"
"141",141,1961880,14242586.6,"Real","Competidor 1"
"142",142,2067022.1,13310505.5,"Real","Competidor 1"
"143",143,2440135,12506086.5,"Real","Competidor 1"
"144",144,1906501,12893934.5,"Real","Competidor 1"
"145",145,1976222.2,13465766.5,"Real","Competidor 1"
"146",146,1995880,12669320.5,"Real","Competidor 1"
"147",147,2043958.2,11957418,"Real","Competidor 1"
"148",148,1968132.1,12428894.5,"Real","Competidor 1"
"149",149,2259683,12579716.5,"Real","Competidor 1"
"150",150,1961990,12141416,"Real","Competidor 1"
"151",151,2106292,11846433.5,"Real","Competidor 1"
"152",152,1607038,11197036.5,"Real","Competidor 1"
"153",153,1657209,11121406.5,"Real","Competidor 1"
"154",154,1785639,12809884.1,"Real","Competidor 1"
"155",155,1767723,11723609.5,"Real","Competidor 1"
"156",156,2104243,11471570.5,"Real","Competidor 1"
"157",157,1630316,11269246,"Real","Competidor 1"
"158",158,1968826,11206529.5,"Real","Competidor 1"
"159",159,1842275,10552011,"Real","Competidor 1"
"160",160,1572706,10222096,"Real","Competidor 1"
"161",161,1579806,10378489,"Real","Competidor 1"
"162",162,1642545,11179032,"Real","Competidor 1"
