,Importancia
Dependants,0.733267282307975
Monthly Income,0.06130627321926143
Credit Score,0.038500695212376035
Gender,0.03724531422150675
Stock Market,0.033150815386666845
Unemployment Rate,0.03210342502216867
Government Bonds Return,0.027600880177265665
Education Level,0.013693242882238476
Desease,0.008116376443369934
Marital Status,0.008036659043731355
Employee/Employer,0.006979036083439887
