"","V1"
"1",88.8281394431116
"2",90.8526911243302
"3",92.1317669225373
"4",91.5919500206901
"5",89.5426380834657
"6",89.1616571417785
"7",92.4944802082022
"8",91.57275497226
"9",90.4545244453148
"10",89.6498129286402
"11",89.4868983418613
"12",90.191078506396
"13",89.6779636007646
"14",90.2864567658731
"15",90.2142779662484
"16",89.6927813423775
"17",91.5898899469053
"18",90.0820310413778
"19",90.9492351858099
"20",88.7420618810495
"21",90.8400416411582
"22",90.145378073807
"23",90.1325279865482
"24",90.1956218531559
"25",92.1424366150699
"26",90.8699216897401
"27",90.2545623773618
"28",90.7324423703365
"29",90.6360460441881
"30",90.630459550674
"31",91.9538543071052
"32",87.9112803440757
"33",90.7982350889711
"34",91.4289343965109
"35",91.3414053844751
"36",90.9241862651361
"37",89.2083242372612
"38",90.2106310465191
"39",91.7160442702659
"40",89.8797158044532
"41",89.4502536742558
"42",90.6249124300107
"43",91.0137739601335
"44",91.1580930336966
"45",88.9645187685767
"46",91.2173565030154
"47",90.2644944094823
"48",91.7253183817971
"49",91.4802181881461
"50",89.3672046768775
"51",91.0717487075261
"52",91.2566386611931
"53",91.434187340478
"54",90.1651819974701
"55",89.8496956381115
"56",90.130466729282
"57",91.1066511883861
"58",90.3848883506584
"59",91.9445927320241
"60",90.802600840572
"61",90.8361786740432
"62",90.2961749166776
"63",89.6701429798339
"64",89.326006657326
"65",91.2764666172306
"66",90.7822532112604
"67",91.4806588582262
"68",91.2498837496138
"69",90.1851780518923
"70",90.9863454910189
"71",92.5970481311207
"72",91.072596644233
"73",89.135265944279
"74",90.7989004302818
"75",90.4786415303225
"76",89.6086165162546
"77",90.5997702910763
"78",90.7477190074551
"79",90.2427729715119
"80",90.6343623115093
"81",91.329087449207
"82",91.2129314033547
"83",91.0807235602588
"84",89.2206121621812
"85",89.5934582329185
"86",89.7563214208939
"87",90.5195244351176
"88",90.5681799149843
"89",89.8800741733157
"90",90.371739774449
"91",89.9693392559561
"92",90.2300361112696
"93",91.373224662315
"94",89.8246161175589
"95",90.853469447445
"96",90.5625249674305
"97",90.0829804237881
"98",89.1387679967305
"99",90.6608971385666
"100",90.5840506050723
"101",91.177099206138
"102",89.9539008296188
"103",89.3835972301344
"104",90.7473846898255
"105",90.8821962650022
"106",91.1539937192474
"107",91.5038757996059
"108",89.7492670239845
"109",90.9128240890044
"110",92.4136027462354
"111",90.8763492759114
"112",92.0028241183755
"113",89.3311383186814
"114",91.8552430497709
"115",90.8909214815164
"116",90.5921020197434
"117",89.9686765208892
"118",92.0601252801082
"119",90.4125345295957
"120",88.8249959357534
"121",90.2801753213573
"122",91.2358894501266
"123",91.0775584007109
"124",90.8858110708669
"125",90.47183700412
"126",89.7782735931862
"127",90.6993240486504
"128",89.2743966499961
"129",91.8598108102113
"130",90.5278452526436
"131",90.5072273511496
"132",91.191851024593
"133",89.4597053642389
