,PC1,PC2,Indice
0,270.7873397,35.78136093,88.82813944
1,284.6981241,31.5287898,90.85269112
2,292.619159,28.41737142,92.13176692
3,290.0602069,33.47195605,91.59195002
4,276.316588,33.04833616,89.54263808
5,273.9720564,34.33234789,89.16165714
6,294.8239735,32.80223564,92.49448021
7,288.965199,33.88146138,91.57275497
8,281.7733467,32.0906288,90.45452445
9,275.4287537,37.39558208,89.64981293
10,273.8715318,37.86436034,89.48689834
11,280.4052691,31.03340063,90.19107851
12,275.8748919,34.64810373,89.6779636
13,281.117258,31.49118222,90.28645677
14,279.9171565,34.63945556,90.21427797
15,276.7709128,36.45559747,89.69278134
16,287.6606228,35.46773325,91.58988995
17,278.1122499,32.98922584,90.08203104
18,284.3998195,30.12304957,90.94923519
19,270.3965414,33.96433119,88.74206188
20,283.5282891,31.4551348,90.84004164
21,279.4310916,31.43786039,90.14537807
22,278.1088179,34.44652321,90.13252799
23,278.2259517,33.3697438,90.19562185
24,289.9437303,34.20808501,92.14243662
25,285.0575189,33.02185278,90.86992169
26,280.721334,32.46926341,90.25456238
27,282.2983148,31.48312523,90.73244237
28,283.2329527,29.56482324,90.63604604
29,282.9676428,35.50369966,90.63045955
30,291.5209143,33.94312852,91.95385431
31,265.125177,36.30914785,87.91128034
32,284.7554177,33.09819266,90.79823509
33,287.637828,32.80964517,91.4289344
34,286.6175522,35.52214279,91.34140538
35,283.9778207,33.81756318,90.92418627
36,274.943456,30.90755224,89.20832424
37,278.8587364,35.08779582,90.21063105
38,289.544185,33.68704715,91.71604427
39,278.5484732,31.54925458,89.8797158
40,275.2547258,31.85513585,89.45025367
41,283.4730572,34.1789583,90.62491243
42,285.3931799,29.05130015,91.01377396
43,284.7540012,35.14895603,91.15809303
44,270.3497216,36.90303413,88.96451877
45,285.7023511,33.79540184,91.2173565
46,279.3487537,35.5222092,90.26449441
47,289.8180381,32.34820619,91.72531838
48,289.7950304,26.84161291,91.48021819
49,272.8838533,38.49004441,89.36720468
50,285.9528367,31.12211526,91.07174871
51,286.0936826,33.53122164,91.25663866
52,287.3170755,28.95443838,91.43418734
53,280.0838425,30.59358699,90.165182
54,276.4734963,33.05302476,89.84969564
55,279.372113,31.52766396,90.13046673
56,285.0463478,31.32050313,91.10665119
57,279.6101496,40.22362805,90.38488835
58,290.2441248,33.75024721,91.94459273
59,283.0213786,33.58869078,90.80260084
60,284.5507203,35.37513066,90.83617867
61,280.0694546,36.32773003,90.29617492
62,277.5423562,35.57816448,89.67014298
63,273.691439,36.62333802,89.32600666
64,285.2381158,31.37679854,91.27646662
65,283.8091595,32.98028942,90.78225321
66,288.0673614,32.87693629,91.48065886
67,285.3812972,30.60031099,91.24988375
68,279.1866366,33.81258056,90.18517805
69,284.1841584,28.73001251,90.98634549
70,295.0745732,30.99406737,92.59704813
71,285.4481647,33.45096338,91.07259664
72,272.7073004,33.54473006,89.13526594
73,285.0724713,33.82472949,90.79890043
74,281.5551911,31.24746684,90.47864153
75,277.0299129,37.5645544,89.60861652
76,282.9461248,32.45438083,90.59977029
77,282.5914722,32.39363995,90.74771901
78,279.096895,35.91070987,90.24277297
79,283.5331131,29.53822129,90.63436231
80,285.7380513,33.72639426,91.32908745
81,286.3223211,35.68419703,91.2129314
82,286.8259501,28.0174528,91.08072356
83,274.7272545,34.16117233,89.22061216
84,276.782875,34.70970298,89.59345823
85,278.2328114,32.65215417,89.75632142
86,282.5064445,28.52980702,90.51952444
87,281.5286927,36.90924315,90.56817991
88,277.6041362,33.00610766,89.88007417
89,280.3729519,32.42026841,90.37173977
90,276.6348399,33.52061473,89.96933926
91,280.4225105,36.84232681,90.23003611
92,286.3225204,33.06475398,91.37322466
93,276.6253409,34.8143469,89.82461612
94,285.8728939,32.69508203,90.85346945
95,281.4076282,32.04127224,90.56252497
96,280.1886688,34.17188751,90.08298042
97,273.1902886,35.30053259,89.138768
98,281.740187,37.50005526,90.66089714
99,281.3984438,33.50130125,90.58405061
100,285.6436705,31.08285681,91.17709921
101,277.2745337,34.92392895,89.95390083
102,275.6209975,29.96212085,89.38359723
103,283.0403283,33.88966424,90.74738469
104,282.8203027,30.47550837,90.88219627
105,284.2472698,34.48703531,91.15399372
106,288.8729702,31.99103935,91.5038758
107,276.9720506,34.39801268,89.74926702
108,284.6866018,31.68491768,90.91282409
109,294.1912658,33.32534942,92.41360275
110,284.5811872,32.13505735,90.87634928
111,291.5914595,29.85810701,92.00282412
112,273.9250457,37.78895852,89.33113832
113,290.0450334,31.32091805,91.85524305
114,283.2526438,29.1680666,90.89092148
115,283.7909714,30.87165083,90.59210202
116,279.5172176,29.42364128,89.96867652
117,291.5860951,30.42204062,92.06012528
118,281.512519,32.89503206,90.41253453
119,271.7338071,33.88635493,88.82499594
120,279.9296783,37.35757265,90.28017532
121,288.1302588,32.01911584,91.23588945
122,285.7309677,33.32701929,91.0775584
123,286.85387,28.22318814,90.88581107
124,283.081176,29.30763457,90.471837
125,276.6337548,34.47062655,89.77827359
