,Importancia
Tenure,0.305740818985055
MonthlyCharge,0.21775653169724252
Bandwidth_GB_Year,0.1445041023581212
Income,0.06835508176208407
Outage_sec_perweek,0.06287008966987553
Population,0.05499808296520555
Age,0.053127062468001196
Children,0.030843097277544813
Email,0.029620536747219973
Contacts,0.016525872498512076
Yearly_equip_failure,0.015658723571138133
